"ID" "sec" "frame" "pos_y" "pos_x" "y2" "x2" "dY" "absdY" "dv" "absdR" "size" "cat" "gp" "ret" "pck" "expe" "cond" "plong"
"3775" "2" 118 1180 392.370445658325 202.097655859328 392.968540465912 203.288833857242 -0.417611129911298 5.62397232328283 1.17814191083642 11.8898251679667 263.727272727273 "1" "Sti" "4" "2" "9" "CT" 57
"3776" "2" 119 1190 400.436814877905 220.302109748385 399.872557720056 219.449038317369 -0.637025909021513 6.1455123345811 -1.47412771551217 9.83363750308109 192.833333333333 "1" "Sti" "4" "2" "9" "CT" 57
"3777" "2" 120 1200.3 400.439852769359 219.428117429381 400.587055695985 219.374467018934 0.121336959740599 1.28115112751226 0.212502126197649 3.66271484743731 202.55 "1" "Sti" "4" "2" "9" "CT" 57
"3778" "2" 121 1210 399.630260639237 216.357830769606 399.537737937736 216.492858228275 0.155105780536308 1.46773208869178 -0.076562474680884 1.53870518426123 208.444444444444 "1" "Sti" "4" "2" "9" "CT" 57
"3779" "2" 122 1220 398.260829622801 217.32431009467 398.418421665223 217.162767624597 0.0890018733318602 0.937215347575204 0.0186201598034472 1.76463383100531 226.318181818182 "1" "Sti" "4" "2" "9" "CT" 57
"4073" "2" 416 4160 383.990072089116 159.574415647671 383.800238940832 160.393221049783 -0.125729684324676 1.92537257578113 0.0314239021064964 2.24869473868029 233.818181818182 "2" "Sti" "4" "2" "9" "CT" 57
"4074" "2" 417 4170 384.524477785679 163.169220370631 383.00246734559 164.264133248009 0.566015907708959 6.24790009176644 -2.17775701971919 4.00465454585515 282.833333333333 "2" "Sti" "4" "2" "9" "CT" 57
"4075" "2" 418 4180 365.17230789667 176.258647403834 363.949054027407 174.905715800716 3.02691956584449 27.2012338187711 -0.340533629893628 22.8920161155294 326.363636363636 "2" "Sti" "4" "2" "9" "CT" 57
"4076" "2" 419 4190 334.989980067671 169.455286054978 332.969744362626 171.355485855509 3.78482294718862 34.0120877709564 -0.794584939497099 31.6788466262819 320.833333333333 "2" "Sti" "4" "2" "9" "CT" 57
"4077" "2" 420 4200 304.281672690851 171.884366367123 302.999901212763 170.496876347865 3.0114730030801 27.0624241952213 0.681486506858732 23.2606477522403 316.5 "2" "Sti" "4" "2" "9" "CT" 57
"4078" "2" 421 4210 280.602504525299 168.844491278597 280.20350923471 171.302540831932 1.91281210141746 17.1893729219445 1.27152271372972 13.4922492709346 320.555555555556 "2" "Sti" "4" "2" "9" "CT" 57
