"ID" "sec" "frame" "pos_y" "pos_x" "dY" "absdY" "dv" "absdR" "size" "cat" "gp" "cond" "pck" "day" "expe" "plong" "y2" "x2"
"6464" 2 2828 28280 387.752081362412 186.365948393132 -1.75618680244787 17.3543139766348 -5.85087976293738 16.2131112604094 264.318181818182 10 "Sti" "G2C" 4 7 25 45 NA NA
"6465" 2 2829 28290 387.263952197388 168.306109840584 0.834681682249186 8.25665666383361 -2.32512431180049 10.8486141212941 274.777777777778 10 "Sti" "G2C" 4 7 25 45 NA NA
"6466" 2 2830 28300 367.115471677845 164.835438581919 2.49350112564696 22.0203160873577 1.3494178705198 23.8555784390706 292.272727272727 10 "Sti" "G2C" 4 7 25 45 NA NA
"6467" 2 2831 28310 360.832850157807 159.016768897782 -1.57360719468344 13.8966561786809 3.06122184951903 16.9637452934394 324.944444444444 10 "Sti" "G2C" 4 7 25 45 NA NA
"6468" 2 2832 28320 378.500005185354 160.271139485586 -0.592120938546268 7.20036927163324 -2.26374897790146 8.14058299992956 330.681818181818 10 "Sti" "G2C" 4 7 25 45 NA NA
"7397" 3 126 1260 30.7400229503915 304.505751498475 -1.19970159505342 11.4473879325559 3.931102978496 13.709759220193 265.818181818182 1 "Sti" "G2C" 4 7 25 48 NA NA
"7398...142" 3 127 1270 67.0033381933082 280.820875724248 -7.08062660009218 62.5296031459093 5.08072903521421 16.3478139927624 192.611111111111 1 "Sti" "G2C" 4 7 25 48 NA NA
"7399...143" 3 128 1280 149.334711945055 289.673240571633 -9.42598465018348 83.2416553963928 -2.78648408705031 67.7315171090009 174.636363636364 1 "Sti" "G2C" 4 7 25 48 NA NA
"7400...144" 3 129 1290 210.570591136485 339.5079308409 -4.83601748326785 42.7072731149925 -1.4303954252897 51.317778379772 261.388888888889 1 "Sti" "G2C" 4 7 25 48 NA NA
"7401...145" 3 130 1300 250.341123348918 349.978431730808 -4.66481366668913 41.1953579537562 -1.62600367800735 21.61471644254 211.590909090909 1 "Sti" "G2C" 4 7 25 48 NA NA
